Rk,Player,Age,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Ray Allen,36,8,277,21.9,.748,.710,2.8,7.0,5.0,13.0,1.2,0.0,14.3,20.8,128,108,1.1,0.1,1.2,.212
2,Rajon Rondo,25,9,329,21.7,.558,.534,4.7,11.8,8.3,51.0,2.8,0.0,22.5,24.3,108,103,0.8,0.3,1.1,.157
3,Kevin Garnett,35,9,280,18.4,.561,.500,4.6,24.2,14.7,17.1,1.0,2.5,13.8,21.4,108,101,0.5,0.3,0.8,.144
4,Brandon Bass,26,9,250,17.1,.551,.527,6.7,19.8,13.5,3.9,0.4,1.8,4.7,20.5,111,104,0.5,0.2,0.7,.137
5,Greg Stiemsma,26,7,92,17.5,.661,.615,11.2,22.4,16.9,8.8,0.6,10.8,18.7,11.3,125,96,0.2,0.2,0.4,.203
6,Paul Pierce,34,6,182,16.3,.515,.471,3.5,20.6,12.3,22.7,1.5,0.0,14.8,25.2,100,103,0.2,0.2,0.3,.087
7,Jermaine O'Neal,33,8,179,8.6,.507,.447,5.7,17.6,11.8,0.9,0.9,5.6,15.9,13.7,94,101,0.0,0.2,0.2,.056
8,Keyon Dooling,31,9,166,8.6,.650,.585,0.8,5.1,3.0,11.2,0.7,0.5,27.1,19.5,97,109,0.1,0.0,0.1,.024
9,JaJuan Johnson,22,5,15,5.5,.410,.250,0.0,8.1,4.2,0.0,0.0,0.0,0.0,15.8,92,110,0.0,0.0,0.0,-0.006
10,E'Twaun Moore,22,5,19,2.4,.357,.357,0.0,6.4,3.3,8.8,0.0,0.0,0.0,17.9,82,110,0.0,0.0,0.0,-0.060
11,Sasha Pavlovic,28,6,70,5.9,.472,.472,0.0,8.6,4.5,4.7,2.3,2.2,14.3,14.6,83,103,-0.1,0.1,0.0,-0.002
12,Mickael Pietrus,29,1,18,9.2,.500,.500,0.0,6.7,3.5,0.0,6.0,0.0,0.0,13.5,100,97,0.0,0.0,0.0,.099
13,Chris Wilcox,29,6,48,5.6,.400,.429,13.4,17.6,15.6,0.0,0.0,4.8,25.5,11.9,79,104,-0.1,0.0,0.0,-0.018
14,Avery Bradley,21,9,85,4.3,.399,.380,3.0,8.5,5.9,9.8,1.3,0.0,13.2,17.3,81,107,-0.1,0.0,-0.1,-0.047
15,Marquis Daniels,31,8,151,5.6,.311,.271,5.1,10.4,7.8,13.9,2.1,1.5,8.8,18.2,77,104,-0.3,0.1,-0.2,-0.053
