Player,Date,Type,Note
Marquis Daniels,2012-01-11,illness,missed Wednesday's game against Dallas
Mickael Pietrus,2012-01-11,right knee surgery,played Wednesday against Dallas

No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
20,Ray Allen,G,6-5,205,July 20, 1975,15,University of Connecticut
30,Brandon Bass,F,6-8,240,April 30, 1985,6,Louisiana State University
0,Avery Bradley,G,6-2,180,November 26, 1990,1,University of Texas at Austin
4,Marquis Daniels,G-F,6-6,200,January 7, 1981,8,Auburn University
51,Keyon Dooling,G,6-3,196,May 8, 1980,11,University of Missouri
5,Kevin Garnett,F,6-11,220,May 19, 1976,16,
,JaJuan Johnson,F-C,6-10,221,February 8, 1989,R,Purdue University
55,E'Twaun Moore,F,6-4,191,February 28, 1989,R,Purdue University
7,Jermaine O'Neal,F-C,6-11,226,October 13, 1978,15,
11,Sasha Pavlovic,G-F,6-8,220,November 15, 1983,8,
34,Paul Pierce,F,6-6,230,October 13, 1977,13,University of Kansas
28,Mickael Pietrus,G-F,6-6,215,February 7, 1982,8,
9,Rajon Rondo,G,6-1,171,February 22, 1986,5,University of Kentucky
54,Greg Stiemsma,C,6-11,260,September 26, 1985,R,
44,Chris Wilcox,F,6-10,221,September 3, 1982,9,University of Maryland

,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
Team,9,2160,305,651,.469,58,130,.446,159,216,.736,76,260,336,202,54,50,143,190,827,91.9
Lg Rank,,26,29,29,4,17,28,1,18,19,17,29,28,29,18,29,16,10,23,28,23
Opponent,9,2160,311,700,.444,45,135,.333,161,208,.774,97,260,357,152,81,54,131,186,828,92.0
Lg Rank,,26,3,2,16,3,1,13,8,6,24,4,2,2,1,18,17,26,6,2,7

Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ray Allen,36,8,8,34.6,6.1,11.0,.557,3.4,5.4,.628,3.4,3.9,.871,0.8,2.0,2.8,2.4,0.8,0.0,2.1,1.5,19.0
2,Rajon Rondo,25,9,9,36.6,6.0,11.6,.519,0.3,0.9,.375,3.4,5.9,.585,1.3,3.6,4.9,10.1,1.9,0.0,4.1,2.0,15.8
3,Paul Pierce,34,6,6,30.3,4.5,11.7,.386,2.0,4.7,.429,2.8,4.0,.708,0.8,5.2,6.0,3.8,0.8,0.0,2.3,1.3,13.8
4,Kevin Garnett,35,9,9,31.1,5.1,10.2,.500,0.0,0.0,,3.0,3.6,.844,1.1,6.2,7.3,2.9,0.6,1.0,1.9,2.1,13.2
5,Brandon Bass,26,9,0,27.8,5.3,10.1,.527,0.0,0.0,,1.7,2.4,.682,1.4,4.6,6.0,0.6,0.2,0.7,0.6,2.2,12.3
6,Keyon Dooling,31,9,1,18.4,2.1,4.6,.463,1.1,2.8,.400,1.7,1.9,.882,0.1,0.8,0.9,1.2,0.2,0.1,2.0,2.2,7.0
7,Jermaine O'Neal,33,8,8,22.4,2.1,4.8,.447,0.0,0.0,,1.1,1.3,.900,1.0,3.3,4.3,0.1,0.4,1.6,1.0,3.9,5.4
8,Mickael Pietrus,29,1,0,18.0,2.0,5.0,.400,1.0,4.0,.250,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0
9,Marquis Daniels,31,8,0,18.9,1.6,6.0,.271,0.0,0.4,.000,0.8,1.0,.750,0.8,1.6,2.4,1.6,0.8,0.4,0.6,1.8,4.0
10,Greg Stiemsma,26,7,1,13.1,1.1,1.9,.615,0.0,0.0,,1.0,1.4,.700,1.1,2.4,3.6,0.7,0.1,1.9,0.6,2.7,3.3
11,Sasha Pavlovic,28,6,3,11.7,1.2,3.0,.389,0.5,1.3,.375,0.0,0.0,,0.0,0.8,0.8,0.3,0.5,0.3,0.5,1.5,2.8
12,Avery Bradley,21,9,0,9.4,1.0,2.8,.360,0.1,1.0,.111,0.2,0.3,.667,0.2,0.7,0.9,0.6,0.2,0.0,0.4,1.0,2.3
13,Chris Wilcox,29,6,0,8.0,0.5,1.2,.429,0.0,0.0,,0.2,0.7,.250,0.8,1.2,2.0,0.0,0.0,0.5,0.5,0.8,1.2
14,E'Twaun Moore,22,5,0,3.8,0.4,1.4,.286,0.2,0.4,.500,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,1.0
15,JaJuan Johnson,22,5,0,3.0,0.2,0.8,.250,0.0,0.0,,0.4,0.4,1.000,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.8

Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ray Allen,36,8,8,277,6.4,11.4,.557,3.5,5.6,.628,3.5,4.0,.871,0.8,2.1,2.9,2.5,0.8,0.0,2.2,1.6,19.8
2,Paul Pierce,34,6,6,182,5.3,13.8,.386,2.4,5.5,.429,3.4,4.7,.708,1.0,6.1,7.1,4.5,1.0,0.0,2.8,1.6,16.4
3,Brandon Bass,26,9,0,250,6.9,13.1,.527,0.0,0.0,,2.2,3.2,.682,1.9,5.9,7.8,0.7,0.3,0.9,0.7,2.9,16.0
4,Rajon Rondo,25,9,9,329,5.9,11.4,.519,0.3,0.9,.375,3.4,5.8,.585,1.3,3.5,4.8,10.0,1.9,0.0,4.0,2.0,15.5
5,Kevin Garnett,35,9,9,280,5.9,11.8,.500,0.0,0.0,,3.5,4.1,.844,1.3,7.2,8.5,3.3,0.6,1.2,2.2,2.4,15.3
6,Keyon Dooling,31,9,1,166,4.1,8.9,.463,2.2,5.4,.400,3.3,3.7,.882,0.2,1.5,1.7,2.4,0.4,0.2,3.9,4.3,13.7
7,Mickael Pietrus,29,1,0,18,4.0,10.0,.400,2.0,8.0,.250,0.0,0.0,,0.0,2.0,2.0,0.0,4.0,0.0,0.0,8.0,10.0
8,JaJuan Johnson,22,5,0,15,2.4,9.6,.250,0.0,0.0,,4.8,4.8,1.000,0.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,9.6
9,E'Twaun Moore,22,5,0,19,3.8,13.3,.286,1.9,3.8,.500,0.0,0.0,,0.0,1.9,1.9,1.9,0.0,0.0,0.0,3.8,9.5
10,Greg Stiemsma,26,7,1,92,3.1,5.1,.615,0.0,0.0,,2.7,3.9,.700,3.1,6.7,9.8,2.0,0.4,5.1,1.6,7.4,9.0
11,Avery Bradley,21,9,0,85,3.8,10.6,.360,0.4,3.8,.111,0.8,1.3,.667,0.8,2.5,3.4,2.1,0.8,0.0,1.7,3.8,8.9
12,Sasha Pavlovic,28,6,3,70,3.6,9.3,.389,1.5,4.1,.375,0.0,0.0,,0.0,2.6,2.6,1.0,1.5,1.0,1.5,4.6,8.7
13,Jermaine O'Neal,33,8,8,179,3.4,7.6,.447,0.0,0.0,,1.8,2.0,.900,1.6,5.2,6.8,0.2,0.6,2.6,1.6,6.2,8.6
14,Marquis Daniels,31,8,0,151,3.1,11.4,.271,0.0,0.7,.000,1.4,1.9,.750,1.4,3.1,4.5,3.1,1.4,0.7,1.2,3.3,7.6
15,Chris Wilcox,29,6,0,48,2.3,5.2,.429,0.0,0.0,,0.7,3.0,.250,3.7,5.2,9.0,0.0,0.0,2.3,2.3,3.7,5.2

Rk,Player,Age,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Ray Allen,36,8,277,21.9,.748,.710,2.8,7.0,5.0,13.0,1.2,0.0,14.3,20.8,128,108,1.1,0.1,1.2,.212
2,Rajon Rondo,25,9,329,21.7,.558,.534,4.7,11.8,8.3,51.0,2.8,0.0,22.5,24.3,108,103,0.8,0.3,1.1,.157
3,Kevin Garnett,35,9,280,18.4,.561,.500,4.6,24.2,14.7,17.1,1.0,2.5,13.8,21.4,108,101,0.5,0.3,0.8,.144
4,Brandon Bass,26,9,250,17.1,.551,.527,6.7,19.8,13.5,3.9,0.4,1.8,4.7,20.5,111,104,0.5,0.2,0.7,.137
5,Greg Stiemsma,26,7,92,17.5,.661,.615,11.2,22.4,16.9,8.8,0.6,10.8,18.7,11.3,125,96,0.2,0.2,0.4,.203
6,Paul Pierce,34,6,182,16.3,.515,.471,3.5,20.6,12.3,22.7,1.5,0.0,14.8,25.2,100,103,0.2,0.2,0.3,.087
7,Jermaine O'Neal,33,8,179,8.6,.507,.447,5.7,17.6,11.8,0.9,0.9,5.6,15.9,13.7,94,101,0.0,0.2,0.2,.056
8,Keyon Dooling,31,9,166,8.6,.650,.585,0.8,5.1,3.0,11.2,0.7,0.5,27.1,19.5,97,109,0.1,0.0,0.1,.024
9,JaJuan Johnson,22,5,15,5.5,.410,.250,0.0,8.1,4.2,0.0,0.0,0.0,0.0,15.8,92,110,0.0,0.0,0.0,-0.006
10,E'Twaun Moore,22,5,19,2.4,.357,.357,0.0,6.4,3.3,8.8,0.0,0.0,0.0,17.9,82,110,0.0,0.0,0.0,-0.060
11,Sasha Pavlovic,28,6,70,5.9,.472,.472,0.0,8.6,4.5,4.7,2.3,2.2,14.3,14.6,83,103,-0.1,0.1,0.0,-0.002
12,Mickael Pietrus,29,1,18,9.2,.500,.500,0.0,6.7,3.5,0.0,6.0,0.0,0.0,13.5,100,97,0.0,0.0,0.0,.099
13,Chris Wilcox,29,6,48,5.6,.400,.429,13.4,17.6,15.6,0.0,0.0,4.8,25.5,11.9,79,104,-0.1,0.0,0.0,-0.018
14,Avery Bradley,21,9,85,4.3,.399,.380,3.0,8.5,5.9,9.8,1.3,0.0,13.2,17.3,81,107,-0.1,0.0,-0.1,-0.047
15,Marquis Daniels,31,8,151,5.6,.311,.271,5.1,10.4,7.8,13.9,2.1,1.5,8.8,18.2,77,104,-0.3,0.1,-0.2,-0.053

